objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
10161,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.034431,37.542564,2014,2014,서울특별시
10173,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.113853,37.603525,2014,2014,서울특별시
10162,"Hyla japonica G?nther, 1859",청개구리,127.034431,37.542564,2014,2014,서울특별시
10160,"Hyla japonica G?nther, 1859",청개구리,127.034431,37.542564,2014,2014,서울특별시
14818,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,126.958358,37.518381,2014,2014,서울특별시
10178,"Hynobius leechii Boulenger, 1887",도롱뇽,127.061444,37.682953,2014,2014,서울특별시
3586,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,126.875411,37.574775,2014,2014,서울특별시
3596,"Bombina orientalis (Boulenger, 1890)",무당개구리,126.936428,37.594764,2014,2014,서울특별시
1033,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,126.925736,37.516758,2014,2014,서울특별시
3580,"Rana coreana Okada, 1928",한국산개구리,126.875411,37.574775,2014,2014,서울특별시
14817,"Bombina orientalis (Boulenger, 1890)",무당개구리,126.958358,37.518381,2014,2014,서울특별시
3577,"Rana coreana Okada, 1928",한국산개구리,126.875411,37.574775,2014,2014,서울특별시
8400,"Rana coreana Okada, 1928",한국산개구리,126.994289,37.543633,2014,2014,서울특별시
8403,"Rana coreana Okada, 1928",한국산개구리,126.994289,37.543633,2014,2014,서울특별시
1031,"Trachemys scripta (Schoepff, 1792)",붉은귀거북,126.925736,37.516758,2014,2014,서울특별시
1032,"Trachemys scripta (Schoepff, 1792)",붉은귀거북,126.925736,37.516758,2014,2014,서울특별시
8401,"Rana dybowskii G?nther, 1876",북방산개구리,126.994289,37.543633,2014,2014,서울특별시
7873,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,126.879244,37.519297,2014,2014,서울특별시
3579,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,126.875411,37.574775,2014,2014,서울특별시
14816,"Elaphe dione (Pallas, 1773)",누룩뱀,126.958358,37.518381,2014,2014,서울특별시
10180,"Rana dybowskii G?nther, 1876",북방산개구리,127.061444,37.682953,2014,2014,서울특별시
3585,"Hyla japonica G?nther, 1859",청개구리,126.875411,37.574775,2014,2014,서울특별시
3587,"Hyla japonica G?nther, 1859",청개구리,126.875411,37.574775,2014,2014,서울특별시
3593,"Hyla japonica G?nther, 1859",청개구리,126.882453,37.575858,2014,2014,서울특별시
3582,"Hyla japonica G?nther, 1859",청개구리,126.875411,37.574775,2014,2014,서울특별시
7874,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,126.879244,37.519297,2014,2014,서울특별시
8404,"Rana dybowskii G?nther, 1876",북방산개구리,126.941297,37.577731,2014,2014,서울특별시
8408,"Rana dybowskii G?nther, 1876",북방산개구리,126.961756,37.601322,2014,2014,서울특별시
8411,"Rana dybowskii G?nther, 1876",북방산개구리,127.006944,37.602689,2014,2014,서울특별시
8410,"Rana huanrenensis Fei, Ye and Huang, 1990",계곡산개구리,127.006944,37.602689,2014,2014,서울특별시
7872,"Hyla japonica G?nther, 1859",청개구리,126.879244,37.519297,2014,2014,서울특별시
10163,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.034431,37.542564,2014,2014,서울특별시
10174,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.113853,37.603525,2014,2014,서울특별시
10175,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.072544,37.6158,2014,2014,서울특별시
10172,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.113853,37.603525,2014,2014,서울특별시
12127,"Hynobius leechii Boulenger, 1887",도롱뇽,127.324269,36.476744,2017,2017,세종특별자치시
12138,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.323703,36.435567,2017,2017,세종특별자치시
13670,"Rana dybowskii G?nther, 1876",북방산개구리,127.188992,36.495381,2017,2017,세종특별자치시
12126,"Hyla japonica G?nther, 1859",청개구리,127.285444,36.476789,2017,2017,세종특별자치시
12128,"Hyla japonica G?nther, 1859",청개구리,127.324269,36.476744,2017,2017,세종특별자치시
12130,"Hyla japonica G?nther, 1859",청개구리,127.351339,36.470606,2017,2017,세종특별자치시
12134,"Hyla japonica G?nther, 1859",청개구리,127.280078,36.448978,2017,2017,세종특별자치시
12136,"Hyla japonica G?nther, 1859",청개구리,127.323703,36.435567,2017,2017,세종특별자치시
12139,"Hyla japonica G?nther, 1859",청개구리,127.342197,36.454192,2017,2017,세종특별자치시
13674,"Hynobius leechii Boulenger, 1887",도롱뇽,127.21675,36.485725,2017,2017,세종특별자치시
12131,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.351339,36.470606,2017,2017,세종특별자치시
12135,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.280078,36.448978,2017,2017,세종특별자치시
12132,"Hynobius leechii Boulenger, 1887",도롱뇽,127.281114,36.421317,2017,2017,세종특별자치시
12125,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,127.235006,36.437981,2017,2017,세종특별자치시
13678,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,127.263703,36.491672,2017,2017,세종특별자치시
12137,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,127.323703,36.435567,2017,2017,세종특별자치시
12133,"Rana coreana Okada, 1928",한국산개구리,127.281114,36.421317,2017,2017,세종특별자치시
13671,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,127.188992,36.495381,2017,2017,세종특별자치시
13676,"Rana coreana Okada, 1928",한국산개구리,127.21675,36.485725,2017,2017,세종특별자치시
13672,"Scincella vandenburghi (Schmidt, 1927)",도마뱀,127.195883,36.478881,2017,2017,세종특별자치시
13668,"Bufo gargarizans Cantor, 1842",두꺼비,127.188992,36.495381,2017,2017,세종특별자치시
13675,"Bufo gargarizans Cantor, 1842",두꺼비,127.21675,36.485725,2017,2017,세종특별자치시
13677,"Rana dybowskii G?nther, 1876",북방산개구리,127.21675,36.485725,2017,2017,세종특별자치시
13673,"Elaphe dione (Pallas, 1773)",누룩뱀,127.195883,36.478881,2017,2017,세종특별자치시
13669,"Hyla japonica G?nther, 1859",청개구리,127.188992,36.495381,2017,2017,세종특별자치시
12129,"Elaphe dione (Pallas, 1773)",누룩뱀,127.308119,36.481275,2017,2017,세종특별자치시
3561,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.321803,36.564033,2018,2018,세종특별자치시
3567,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.369897,36.547214,2018,2018,세종특별자치시
3565,"Hyla japonica G?nther, 1859",청개구리,127.369897,36.547214,2018,2018,세종특별자치시
5020,"Hynobius leechii Boulenger, 1887",도롱뇽,127.287653,36.661772,2018,2018,세종특별자치시
5005,"Hynobius leechii Boulenger, 1887",도롱뇽,127.268139,36.67525,2018,2018,세종특별자치시
5007,"Rana dybowskii G?nther, 1876",북방산개구리,127.268139,36.67525,2018,2018,세종특별자치시
11437,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.253947,36.595336,2018,2018,세종특별자치시
5021,"Rana dybowskii G?nther, 1876",북방산개구리,127.287653,36.661772,2018,2018,세종특별자치시
3563,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,127.313133,36.5458,2018,2018,세종특별자치시
5006,"Rana coreana Okada, 1928",한국산개구리,127.268139,36.67525,2018,2018,세종특별자치시
3568,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,127.369897,36.547214,2018,2018,세종특별자치시
3562,"Hyla japonica G?nther, 1859",청개구리,127.313133,36.5458,2018,2018,세종특별자치시
11435,"Oocatochus rufodorsatus (Cantor, 1842)",무자치,127.273922,36.638208,2018,2018,세종특별자치시
11438,"Hynobius leechii Boulenger, 1887",도롱뇽,127.281286,36.613397,2018,2018,세종특별자치시
3564,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,127.369897,36.547214,2018,2018,세종특별자치시
3566,"Hynobius leechii Boulenger, 1887",도롱뇽,127.369897,36.547214,2018,2018,세종특별자치시
11436,"Hyla japonica G?nther, 1859",청개구리,127.253947,36.595336,2018,2018,세종특별자치시
11439,"Hyla japonica G?nther, 1859",청개구리,127.271133,36.580403,2018,2018,세종특별자치시
3560,"Hyla japonica G?nther, 1859",청개구리,127.321803,36.564033,2018,2018,세종특별자치시
14667,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.300267,35.605622,2014,2014,울산광역시
14680,"Gloydius brevicaudus (Stejneger, 1907)",살모사,129.315847,35.650775,2014,2014,울산광역시
6689,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.188486,35.512344,2014,2014,울산광역시
6251,"Dinodon rufozonatum (Cantor, 1842)",능구렁이,129.424853,35.548,2014,2014,울산광역시
2691,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,129.169911,35.610353,2014,2014,울산광역시
