"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.191197,36.836768,"Chungcheongnam-do",2007,9,9,"","https://www.inaturalist.org/observations/2485913","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573919613","2485913",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.60284,35.993841,"Jeollabuk-do",2006,6,4,"","https://www.inaturalist.org/observations/2464215","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677258972","2464215",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.192913,36.840889,"Chungcheongnam-do",2006,10,1,"","https://www.inaturalist.org/observations/2469936","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677258988","2469936",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",118.900909,39.153226,"Hebei",2004,10,22,"","https://www.inaturalist.org/observations/19682005","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990515079","19682005",NA,NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Eremias argus",103.792,36.056,"Gansu",1994,4,15,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179457","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476691059","R-179457","ASIA","whole animal (ethanol)","People's Republic of China,Gansu Lanzhou,Gansu Univ Technology",NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",115.959719,40.363039,"Beijing Muni.",1992,7,4,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543545604","194008","ASIA","Alcohol","rd from Beijing to the Great Wall to Guanting Reservoir, 4.4 km E of Kangshuang (40 22 N, 115 50 E)",NA,NA,"PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",115.859817,40.347028,"Beijing Muni.",1992,7,4,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543545607","194010","ASIA","Alcohol","2.3 km W of Kangzhuang (40 22 N 115 50 E) on the Kangzhuang to Guanting rd, then 2.2 km N on rd to Gruanting Reservoir",NA,NA,"PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",103.15865,36.906425,"Gansu Prov.",1990,9,22,"",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543527837","178018","ASIA","Alcohol","Shanghai-Yinning Rd (Lanzhou-Urumqi Rd), 7.5 km S of Tianzhu Zangzu Autonomous County (town) (37 13 N, 102 48 E)",2410,NA,"PhysicalObject","Wuwei Prefecture"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Eremias argus",106.966977888889,38.450067549494,"Ningxia Hui Autonomous Region",1988,7,28,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:210500","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145519600","MVZ:Herp:210500","ASIA","whole organism","5.6 mi W Lanzhou-Baotou Railroad tracks and Yinchua-Zhan [=38.29N 106.09E] on Yinchuan-Alxazuoqi Rd., by way of S S Ide Helan Mts., Yinchuan Municipality",NA,NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Eremias argus",109.033637888889,33.9334003701717,"Shaanxi Province",1986,8,31,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:208807","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145517661","MVZ:Herp:208807","ASIA","whole organism","mountains S of Xian, base of Qin Ling Mts., Xian Municipality",NA,NA,NA,NA
"78f98484-a7ef-4e6c-8b51-7464f1209591","PRESERVED_SPECIMEN","PRESENT","Eremias argus",128.04982,36.16678,"Gyeongsangbuk-do",1953,7,11,"colmafu,inmafu","https://csvcoll.org/portal/collections/individual/index.php?occid=7657","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2816185619","ASUHEC003558",NA,NA,"KUMWHA",NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",126.826786,37.823853,"Gyeonggi Prov.",1952,3,24,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543677700","86871","ASIA","Alcohol","3 mi SE of Munsan-ni, ca. village of P'Aiu-ri, about 30 mi. N of Seoul",60.96,NA,"PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",126.817486,37.832622,"Gyeonggi Prov.",1952,5,27,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543677734","86901","ASIA","Alcohol","3 mi SE of Munsan-ni, near village of P'Aiu-ri, about 30 mi N of Seoul",NA,NA,"PhysicalObject",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Eremias argus",126.980361,37.543533,"Gyeonggi Prov.",1948,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543674786","84248","ASIA","Alcohol","Seoul",NA,NA,"PhysicalObject",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Eremias argus",117.12,36.185,"Shandong",1931,7,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-37196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476684134","R-37196","ASIA","whole animal (ethanol)","Tai-an: Shantung: China",NA,NA,NA,NA
